OrderID,Date,Customer,Region,Sales,Category
1001,2024/01/05,Amit,West,1200,Electronics
1002,05-01-2024,Riya,North,,Furniture
1003,2024-01-07,Arjun,South,850,electronics
1003,2024-01-07,Arjun,South,850,electronics
1004,,Neha,West,1400,Furniture
1005,2024/01/10,Karan,EAST,2000,Technology
1006,11-01-2024,Meera,North,NaN,technology
1007,2024-01-12,,South,1750,Electronics
1008,2024-01-13,John,west,1300,Furniture
1009,2024/01/14,Priya,North,1600,FURNITURE
1010,2024-01-15,Rahul,South,1900,Electronics
1011,2024/01/16,Sneha,,2100,Technology
1012,17-01-2024,David,West,1500,furniture
1013,2024-01-18,Anjali,North,,Electronics
1014,2024/01/19,Vikram,East,2200,Technology
